SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,saps_precinct_mapped,saps_precinct_name,saps_robbery_with_aggravating_circumstances_q1_2026,saps_robbery_with_aggravating_circumstances_trend,saps_burglary_at_residential_premises_q1_2026,saps_burglary_at_residential_premises_trend,saps_theft_of_motor_vehicle_and_motorcycle_q1_2026,saps_theft_of_motor_vehicle_and_motorcycle_trend,saps_carjacking_q1_2026,saps_carjacking_trend,saps_truck_hijacking_q1_2026,saps_truck_hijacking_trend
CAPE TOWN CITY CENTRE,93,Theft,88,Theft:88; Armed Robbery:2; Hijack:1; Attempted Theft:1; Accidental Damage:1,June,Thursday,16,1343332.83,14761.9,2,0.8380952380952381,0.125632757284535,0.4819,False,,,,,,,,,,,
DURBANVILLE,75,Theft,74,Theft:74; Armed Robbery:1,April,Monday,12,3123511.79,42787.83,2,0.6666666666666666,0.2968085780481129,0.4817,False,,,,,,,,,,,
CLAREMONT,82,Theft,78,Theft:78; Armed Robbery:2; Windscreen/ Motor glass damage:1; Burglary:1,October,Saturday,0,2140231.49,26422.61,1,0.7333333333333333,0.2022597623531127,0.4678,False,,,,,,,,,,,
PRETORIA CENTRAL,60,Theft,57,Theft:57; Armed Robbery:2; Hijack:1,February,Wednesday,18,4099814.05,68330.23,0,0.5238095238095238,0.3906864096728816,0.4572,False,,,,,,,,,,,
HAZELWOOD,29,Theft,29,Theft:29,December,Friday,17,7153398.39,246668.91,0,0.2285714285714285,0.6843084653286277,0.4564,False,,,,,,,,,,,
FOURWAYS,56,Theft,56,Theft:56,November,Sunday,17,4261937.47,76106.03,0,0.4857142857142857,0.4062756341874204,0.446,True,Douglasdale,56.0,Decreased,62.0,Decreased,35.0,Increased,10.0,Decreased,0.0,Stabilized
NORTHOME CONTENTSLIFF,44,Theft,42,Theft:42; Burglary:1; Hijack:1,September,Wednesday,0,5006455.45,113783.08,0,0.3714285714285714,0.4778658951462069,0.4246,False,,,,,,,,,,,
STELLENBOSCH,75,Theft,74,Theft:74; Armed Robbery:1,April,Friday,22,1837745.39,24503.27,0,0.6666666666666666,0.1731737504405386,0.4199,False,,,,,,,,,,,
PINELANDS,54,Theft,54,Theft:54,July,Friday,0,3725561.3,68991.88,0,0.4666666666666667,0.3546995661623415,0.4107,False,,,,,,,,,,,
BLAIRGOWRIE,41,Theft,40,Theft:40; Armed Robbery:1,April,Friday,14,4922288.61,120055.82,0,0.3428571428571428,0.4697727043817926,0.4063,False,,,,,,,,,,,
OBSERVATORY,56,Theft,55,Theft:55; Armed Robbery:1,May,Friday,17,3152129.78,56288.03,0,0.4857142857142857,0.2995603844883226,0.3926,False,,,,,,,,,,,
WIERDAPARK,43,Theft,38,Theft:38; Burglary:3; Hijack:2,October,Saturday,6,4406463.0,102475.88,0,0.3619047619047619,0.4201727067710898,0.391,False,,,,,,,,,,,
NOORDHEUWEL,45,Theft,44,Theft:44; Armed Robbery:1,April,Tuesday,14,4133341.83,91852.04,0,0.3809523809523809,0.3939103244527084,0.3874,False,,,,,,,,,,,
FAERIE GLEN,32,Theft,32,Theft:32,October,Thursday,12,5324010.79,166375.34,0,0.2571428571428571,0.5084009127954195,0.3828,False,,,,,,,,,,,
PAARL,66,Theft,66,Theft:66,October,Saturday,0,1868886.56,28316.46,0,0.580952380952381,0.1761681770987934,0.3786,False,,,,,,,,,,,
MELVILLE,39,Theft,39,Theft:39,October,Sunday,15,4536499.39,116320.5,0,0.3238095238095238,0.4326765540176513,0.3782,False,,,,,,,,,,,
WELTEVREDENPARK,42,Theft,38,Theft:38; Burglary:3; Armed Robbery:1,November,Friday,14,4193212.2,99838.39,0,0.3523809523809524,0.3996672511181989,0.376,False,,,,,,,,,,,
CENTURION CENTRAL,50,Theft,44,Theft:44; Armed Robbery:3; Hijack:2; Attempted Theft:1,May,Saturday,14,3190783.0,63815.66,0,0.4285714285714285,0.3032771437621515,0.3659,False,,,,,,,,,,,
LINDEN,37,Theft,36,Theft:36; Hijack:1,April,Tuesday,18,4379856.6,118374.5,0,0.3047619047619048,0.4176143278328487,0.3612,False,,,,,,,,,,,
NORTHMEAD,44,Theft,44,Theft:44,January,Friday,0,3662866.88,83246.97,0,0.3714285714285714,0.3486710886654518,0.36,False,,,,,,,,,,,
ROOIHUISKRAAL,42,Theft,40,Theft:40; Armed Robbery:2,April,Saturday,9,3745960.09,89189.53,0,0.3523809523809524,0.3566610429010812,0.3545,False,,,,,,,,,,,
SANDOWN,29,Theft,26,Theft:26; Hijack:2; Armed Robbery:1,August,Friday,12,5017274.52,173009.47,0,0.2285714285714285,0.4789062193095418,0.3537,True,Sandton,81.0,Decreased,60.0,Decreased,48.0,Decreased,17.0,Decreased,4.0,Increased
MORELETAPARK,44,Theft,42,Theft:42; Burglary:1; Attempted Theft:1,March,Wednesday,2,3371003.69,76613.72,0,0.3714285714285714,0.320606538852479,0.346,False,,,,,,,,,,,
EDENVALE,38,Theft,33,Theft:33; Hijack:3; Burglary:2,December,Wednesday,0,3952526.05,104013.84,0,0.3142857142857143,0.3765237075765565,0.3454,False,,,,,,,,,,,
SUNNINGHILL,33,Theft,30,Theft:30; Hijack:2; Burglary:1,October,Thursday,19,4338227.72,131461.45,0,0.2666666666666666,0.4136114394370278,0.3401,False,,,,,,,,,,,
TABLE VIEW,57,Theft,56,Theft:56; Hijack:1,January,Tuesday,3,1941403.06,34059.7,0,0.4952380952380952,0.1831411116662269,0.3392,False,,,,,,,,,,,
CONSTANTIA KLOOF,20,Theft,18,Theft:18; Armed Robbery:2,March,Monday,13,5573195.8,278659.79,0,0.1428571428571428,0.5323616771720137,0.3376,False,,,,,,,,,,,
ARCADIA,24,Theft,19,Theft:19; Hijack:3; Burglary:2,September,Friday,10,5103927.58,212663.65,0,0.1809523809523809,0.4872384763468768,0.3341,False,,,,,,,,,,,
MENLYN,31,Theft,30,Theft:30; Attempted Theft:1,February,Tuesday,11,4318824.53,139316.92,0,0.2476190476190476,0.411745696133511,0.3297,False,,,,,,,,,,,
WAVERLEY,30,Theft,30,Theft:30,November,Saturday,16,4391806.67,146393.56,0,0.238095238095238,0.4187634050247464,0.3284,False,,,,,,,,,,,
DURBAN NORTH,48,Theft,45,Theft:45; Armed Robbery:2; Hijack:1,April,Thursday,0,2606072.19,54293.17,0,0.4095238095238095,0.2470533847693554,0.3283,False,,,,,,,,,,,
PARKLANDS,56,Theft,54,Theft:54; Attempted Theft:1; Armed Robbery:1,December,Friday,20,1667649.77,29779.46,0,0.4857142857142857,0.15681794688594,0.3213,False,,,,,,,,,,,
GREENSIDE,27,Theft,26,Theft:26; Burglary:1,December,Thursday,17,4535416.6,167978.39,0,0.2095238095238095,0.4325724366951072,0.321,False,,,,,,,,,,,
GLENWOOD,41,Theft,41,Theft:41,February,Tuesday,11,3138354.56,76545.23,0,0.3428571428571428,0.2982358072167775,0.3205,False,,,,,,,,,,,
WOODMEAD,20,Theft,15,Theft:15; Hijack:2; Stolen and recovered:2; Armed Robbery:1,April,Wednesday,15,5005282.46,250264.12,0,0.1428571428571428,0.4777531045052045,0.3103,False,,,,,,,,,,,
MILNERTON,41,Theft,39,Theft:39; Burglary:2,March,Friday,19,2779335.2,67788.66,0,0.3428571428571428,0.2637137535362787,0.3033,False,,,,,,,,,,,
NIEUW MUCKLENEUK,15,Theft,14,Theft:14; Stolen and recovered:1,November,Wednesday,14,5048049.05,336536.6,0,0.0952380952380952,0.4818653911398636,0.2886,False,,,,,,,,,,,
SCHOEMANSVILLE,17,Theft,17,Theft:17,November,Saturday,3,4845792.55,285046.62,0,0.1142857142857142,0.4624171091579955,0.2884,False,,,,,,,,,,,
PARKHURST,31,Theft,31,Theft:31,September,Saturday,21,3400707.06,109700.23,0,0.2476190476190476,0.3234627116606299,0.2855,False,,,,,,,,,,,
RYNFIELD,26,Theft,23,Theft:23; Armed Robbery:2; Burglary:1,July,Tuesday,13,3855284.24,154211.37,1,0.2,0.3671732731464777,0.2836,False,,,,,,,,,,,
MUSGRAVE,32,Theft,27,Theft:27; Hijack:5,January,Sunday,13,3254381.34,101699.42,0,0.2571428571428571,0.3093925390641503,0.2833,False,,,,,,,,,,,
WATERKLOOF GLEN,18,Theft,17,Theft:17; Attempted Theft:1,May,Saturday,13,4561100.95,253394.5,0,0.1238095238095238,0.4350421545104604,0.2794,False,,,,,,,,,,,
BALLITO,27,Theft,26,Theft:26; Burglary:1,January,Saturday,19,3603208.26,133452.16,0,0.2095238095238095,0.3429345231439031,0.2762,False,,,,,,,,,,,
HILLCREST,35,Theft,34,Theft:34; Burglary:1,October,Saturday,2,2795580.13,79873.72,0,0.2857142857142857,0.2652758095365344,0.2755,False,,,,,,,,,,,
HEIDELBERG,31,Theft,23,Theft:23; Hijack:8,October,Friday,22,3190234.48,102910.79,0,0.2476190476190476,0.3032243999856465,0.2754,False,,,,,,,,,,,
DIE HOEWES,26,Theft,26,Theft:26,October,Saturday,10,3619102.97,139196.27,0,0.2,0.3444629032063487,0.2722,False,,,,,,,,,,,
GARDENS,50,Theft,49,Theft:49; Windscreen/ Motor glass damage:1,May,Sunday,20,1189246.5,23784.93,0,0.4285714285714285,0.1108163514068936,0.2697,False,,,,,,,,,,,
LYNNWOOD,29,Theft,25,Theft:25; Hijack:1; Armed Robbery:1; Stolen and recovered:1; SOS:1,October,Wednesday,12,3261017.72,116464.92,1,0.2285714285714285,0.3100306702964164,0.2693,False,,,,,,,,,,,
FERNDALE,37,Theft,35,Theft:35; Hijack:1; Armed Robbery:1,June,Wednesday,11,2466557.71,66663.72,0,0.3047619047619048,0.233638157334916,0.2692,False,,,,,,,,,,,
CONSTANTIA,34,Theft,34,Theft:34,May,Saturday,3,2739581.43,80575.92,0,0.2761904761904762,0.2598911692000407,0.268,False,,,,,,,,,,,
STAMFORD HILL,19,Theft,19,Theft:19,January,Sunday,17,4196026.08,220843.48,0,0.1333333333333333,0.3999378240377497,0.2666,False,,,,,,,,,,,
KENSINGTON,42,Theft,36,Theft:36; Hijack:2; Armed Robbery:2; Burglary:1; SOS:1,April,Sunday,0,1879159.59,46978.99,2,0.3523809523809524,0.1771559959538027,0.2648,False,,,,,,,,,,,
LONE HILL,25,Theft,23,Theft:23; Burglary:1; Hijack:1,January,Friday,13,3558242.84,142329.71,0,0.1904761904761904,0.3386108046597351,0.2645,False,,,,,,,,,,,
THREE RIVERS,24,Theft,23,Theft:23; Stolen and recovered:1,March,Friday,5,3438697.88,143279.08,0,0.1809523809523809,0.3271157768530088,0.254,False,,,,,,,,,,,
MUIZENBERG,32,Theft,31,Theft:31; Attempted Theft:1,May,Saturday,8,2601506.88,81297.09,0,0.2571428571428571,0.2466144004291011,0.2519,False,,,,,,,,,,,
WESTDENE,25,Theft,19,Theft:19; Hijack:5; Stolen and recovered:1,July,Friday,0,3214558.94,128582.36,0,0.1904761904761904,0.3055633555056751,0.248,False,,,,,,,,,,,
PARKVIEW,19,Theft,17,Theft:17; Armed Robbery:1; Windscreen/ Motor glass damage:1,February,Tuesday,14,3763099.41,198057.86,0,0.1333333333333333,0.358309100334773,0.2458,False,,,,,,,,,,,
KUILS RIVER,41,Theft,39,Theft:39; Burglary:1; Armed Robbery:1,March,Saturday,3,1560348.53,39008.71,1,0.3428571428571428,0.146500232634363,0.2447,False,,,,,,,,,,,
HATFIELD,24,Theft,23,Theft:23; Armed Robbery:1,November,Tuesday,21,3219351.5,134139.65,0,0.1809523809523809,0.3060241914159921,0.2435,False,,,,,,,,,,,
KRUGERSDORP,38,Theft,36,Theft:36; Armed Robbery:1; Burglary:1,December,Wednesday,0,1828266.09,48112.27,0,0.3142857142857143,0.1722622539032668,0.2433,False,,,,,,,,,,,
PRETORIA NORTH,35,Theft,32,Theft:32; Armed Robbery:2; Hijack:1,May,Tuesday,13,2091012.0,59743.2,0,0.2857142857142857,0.1975269872851978,0.2416,False,,,,,,,,,,,
KLOOF,34,Theft,32,Theft:32; Armed Robbery:1; Hijack:1,January,Saturday,12,2134005.42,62764.87,0,0.2761904761904762,0.2016610851041795,0.2389,False,,,,,,,,,,,
ROSEBANK,37,Theft,35,Theft:35; Hijack:2,August,Friday,22,1830012.03,50833.67,1,0.3047619047619048,0.1724301374246539,0.2386,False,,,,,,,,,,,
ERASMUSKLOOF,14,Theft,14,Theft:14,April,Wednesday,13,4084275.69,291733.98,0,0.0857142857142857,0.3891922949877379,0.2375,False,,,,,,,,,,,
ORANJEZICHT,32,Theft,30,Theft:30; Hijack:1; Windscreen/ Motor glass damage:1,November,Friday,10,2298243.7,71820.12,0,0.2571428571428571,0.217453667204913,0.2373,False,,,,,,,,,,,
TAMBOERSKLOOF,41,Theft,41,Theft:41,August,Wednesday,14,1400214.87,34151.58,0,0.3428571428571428,0.1311023365248754,0.237,False,,,,,,,,,,,
ILLOVO,19,Theft,19,Theft:19,January,Saturday,21,3504437.39,184444.07,0,0.1333333333333333,0.3334370596193468,0.2334,False,,,,,,,,,,,
CONSTANTIA PARK,17,Theft,17,Theft:17,October,Saturday,2,3673260.07,216074.12,0,0.1142857142857142,0.3496704616883763,0.232,False,,,,,,,,,,,
HELDERKRUIN,28,Theft,27,Theft:27; Burglary:1,October,Tuesday,0,2582764.55,92241.59,0,0.219047619047619,0.2448122031259874,0.2319,False,,,,,,,,,,,
KENILWORTH,37,Theft,33,Theft:33; Burglary:2; Hijack:2,December,Friday,20,1673049.86,45217.56,0,0.3047619047619048,0.1573372007692391,0.231,False,,,,,,,,,,,
SUNWARD PARK,18,Theft,17,Theft:17; Hijack:1,November,Saturday,18,3461269.35,203604.08,1,0.1238095238095238,0.3292861709481567,0.2265,False,,,,,,,,,,,
OLYMPUS AH,18,Theft,15,Theft:15; Burglary:1; Hijack:1; Stolen and recovered:1,February,Monday,15,3444611.58,191367.31,0,0.1238095238095238,0.3276844176885625,0.2257,False,,,,,,,,,,,
MONTANA,24,Theft,23,Theft:23; Burglary:1,May,Saturday,13,2725678.52,113569.94,0,0.1809523809523809,0.2585543137019552,0.2198,False,,,,,,,,,,,
HIGHVELD,15,Theft,15,Theft:15,October,Thursday,13,3590715.2,239381.01,0,0.0952380952380952,0.3417332339210777,0.2185,False,,,,,,,,,,,
GREEN POINT,37,Theft,36,Theft:36; Attempted Theft:1,April,Wednesday,18,1376653.85,37206.86,0,0.3047619047619048,0.1288367907414744,0.2168,False,,,,,,,,,,,
BOKSBURG,30,Theft,29,Theft:29; Hijack:1,December,Saturday,23,2059055.56,68635.19,0,0.238095238095238,0.1944541670976802,0.2163,False,,,,,,,,,,,
WYNBERG,35,Theft,29,Theft:29; Hijack:4; Accidental Damage:1; Windscreen/ Motor glass damage:1,November,Tuesday,0,1560092.5,44574.07,0,0.2857142857142857,0.1464756136795417,0.2161,False,,,,,,,,,,,
CASHAN,11,Theft,11,Theft:11,June,Friday,20,3921291.42,356481.04,0,0.0571428571428571,0.3735202941295755,0.2153,False,,,,,,,,,,,
WOODSTOCK,40,Theft,37,Theft:37; Attempted Theft:1; Hijack:1; Burglary:1,October,Friday,9,1028098.65,25702.47,0,0.3333333333333333,0.0953209343124034,0.2143,False,,,,,,,,,,,
BEACON BAY NORTH,34,Theft,34,Theft:34,December,Saturday,0,1591896.58,46820.49,0,0.2761904761904762,0.1495337834590736,0.2129,False,,,,,,,,,,,
TERGNIET,41,Theft,41,Theft:41,June,Friday,13,897613.14,21893.0,0,0.3428571428571428,0.0827739012478153,0.2128,False,,,,,,,,,,,
NOORDWYK,24,Theft,21,Theft:21; Hijack:2; Stolen and recovered:1,July,Thursday,12,2551382.7,106307.61,0,0.1809523809523809,0.2417946335155537,0.2114,False,,,,,,,,,,,
PRETORIA WEST,29,Theft,26,Theft:26; Hijack:3,October,Thursday,15,1973804.26,68062.22,0,0.2285714285714285,0.1862566984293268,0.2074,False,,,,,,,,,,,
CRAIGHALL PARK,24,Theft,23,Theft:23; Armed Robbery:1,August,Friday,2,2441892.84,101745.53,0,0.1809523809523809,0.231266469172577,0.2061,False,,,,,,,,,,,
ELDORAIGNE,26,Theft,22,Theft:22; Stolen and recovered:2; Burglary:1; Armed Robbery:1,May,Friday,15,2205734.94,88229.4,1,0.2,0.2085583464104122,0.2043,False,,,,,,,,,,,
MONDEOR,26,Theft,21,Theft:21; Hijack:3; Armed Robbery:2,September,Thursday,18,2203151.93,88126.08,1,0.2,0.2083099731475406,0.2042,False,,,,,,,,,,,
RESERVOIR HILLS,23,Theft,23,Theft:23,November,Monday,7,2488760.41,108206.97,0,0.1714285714285714,0.2357730917887349,0.2036,False,,,,,,,,,,,
GROENKLOOF,14,Theft,13,Theft:13; Hijack:1,July,Saturday,14,3379080.77,241362.91,0,0.0857142857142857,0.3213832027887684,0.2035,False,,,,,,,,,,,
MBOMBELA,33,Theft,33,Theft:33,July,Friday,8,1468308.93,44494.21,0,0.2666666666666666,0.1376500246346283,0.2022,False,,,,,,,,,,,
POTCHEFSTROOM,30,Theft,28,Theft:28; Hijack:1; Burglary:1,June,Saturday,20,1761988.54,58732.95,0,0.238095238095238,0.1658892350807946,0.202,False,,,,,,,,,,,
LYTTELTON MANOR,23,Theft,22,Theft:22; Armed Robbery:1,July,Sunday,11,2452668.32,106637.75,0,0.1714285714285714,0.232302601873034,0.2019,False,,,,,,,,,,,
CAMPS BAY,30,Theft,29,Theft:29; Burglary:1,January,Sunday,22,1717285.69,57242.86,0,0.238095238095238,0.1615907644151143,0.1998,False,,,,,,,,,,,
FAIRLAND,21,Theft,19,Theft:19; Armed Robbery:2,May,Friday,14,2601191.75,123866.27,0,0.1523809523809524,0.2465840986237157,0.1995,False,,,,,,,,,,,
TZANEEN,39,Theft,39,Theft:39,January,Saturday,9,815925.56,20921.17,0,0.3238095238095238,0.074919107506915,0.1994,False,,,,,,,,,,,
STELLENBOSCH CENTRAL,29,Theft,29,Theft:29,February,Friday,0,1801156.76,62108.85,0,0.2285714285714285,0.1696555149644465,0.1991,False,,,,,,,,,,,
STRUBENS VALLEY,20,Theft,18,Theft:18; Burglary:1; Hijack:1,December,Sunday,13,2685682.71,134284.14,0,0.1428571428571428,0.2547084556406656,0.1988,False,,,,,,,,,,,
ELARDUSPARK,29,Theft,26,Theft:26; Attempted Theft:2; Hijack:1,October,Monday,0,1754403.86,60496.68,0,0.2285714285714285,0.1651599186168874,0.1969,False,,,,,,,,,,,
ROODEPOORT,29,Theft,29,Theft:29,May,Wednesday,18,1742950.89,60101.75,0,0.2285714285714285,0.1640586408330344,0.1963,False,,,,,,,,,,,
MONUMENT PARK,20,Theft,18,Theft:18; Remote jamming:1; Burglary:1,August,Monday,15,2612871.74,130643.59,0,0.1428571428571428,0.2477072058616309,0.1953,False,,,,,,,,,,,
WALMER,32,Theft,30,Theft:30; Hijack:1; Armed Robbery:1,September,Saturday,0,1419759.25,45798.69,1,0.2571428571428571,0.1329816561680057,0.1951,False,,,,,,,,,,,
BRACKENHURST,26,Theft,25,Theft:25; Burglary:1,May,Saturday,14,2012895.48,77419.06,0,0.2,0.1900155742606362,0.195,False,,,,,,,,,,,
FAR EAST BANK,35,Theft,31,Theft:31; Attempted Theft:2; Hijack:1; Armed Robbery:1,May,Sunday,14,1054467.92,30127.65,0,0.2857142857142857,0.0978565116541254,0.1918,False,,,,,,,,,,,
WESTVILLE,22,Theft,21,Theft:21; Armed Robbery:1,January,Friday,10,2332623.99,106028.36,0,0.1619047619047619,0.2207595563829538,0.1913,False,,,,,,,,,,,
VORNA VALLEY,20,Theft,18,Theft:18; Armed Robbery:2,January,Saturday,16,2502055.36,125102.77,0,0.1428571428571428,0.2370514879665331,0.19,False,,,,,,,,,,,
VOSLOORUS,15,Hijack,7,Hijack:7; Theft:7; Stolen and recovered:1,August,Thursday,21,2989696.72,199313.11,0,0.0952380952380952,0.2839413860677147,0.1896,False,,,,,,,,,,,
EMALAHLENI,18,Theft,16,Theft:16; Hijack:2,November,Friday,16,2686929.6,149273.87,0,0.1238095238095238,0.2548283522487863,0.1893,False,,,,,,,,,,,
MIDDELBURG,35,Theft,35,Theft:35,October,Monday,0,977997.14,27942.78,0,0.2857142857142857,0.0905033472672534,0.1881,False,,,,,,,,,,,
PAULSHOF,30,Theft,30,Theft:30,November,Wednesday,3,1458874.37,48629.15,0,0.238095238095238,0.136742830140237,0.1874,False,,,,,,,,,,,
PARKTOWN,21,Theft,21,Theft:21,August,Sunday,8,2252916.49,107281.74,0,0.1523809523809524,0.2130951602519531,0.1827,False,,,,,,,,,,,
LENASIA SOUTH,16,Theft,14,Theft:14; Hijack:2,December,Tuesday,5,2745714.32,171607.14,0,0.1047619047619047,0.2604808865840742,0.1826,False,,,,,,,,,,,
BENONI,29,Theft,28,Theft:28; Hijack:1,May,Saturday,10,1426784.75,49199.47,0,0.2285714285714285,0.1336572038268627,0.1811,False,,,,,,,,,,,
DAWNCLIFFE,19,Theft,18,Theft:18; Armed Robbery:1,March,Tuesday,6,2414737.15,127091.43,0,0.1333333333333333,0.2286552724173074,0.181,False,,,,,,,,,,,
ESSENWOOD,18,Theft,17,Theft:17; Stolen and recovered:1,November,Saturday,9,2482043.45,137891.3,0,0.1238095238095238,0.2351272122637707,0.1795,False,,,,,,,,,,,
WILRO PARK,22,Theft,20,Theft:20; Armed Robbery:1; Stolen and recovered:1,November,Saturday,6,2018696.92,96128.42,1,0.1619047619047619,0.1905734205648138,0.1762,False,,,,,,,,,,,
SECUNDA,30,Theft,30,Theft:30,May,Thursday,4,1212665.22,40422.17,0,0.238095238095238,0.1130682141169396,0.1756,False,,,,,,,,,,,
SUNDOWNER,22,Theft,18,Theft:18; Armed Robbery:2; Attempted Theft:1; Burglary:1,December,Friday,15,1980600.55,94314.31,1,0.1619047619047619,0.1869102060513342,0.1744,False,,,,,,,,,,,
HOUGHTON ESTATE,13,Theft,12,Theft:12; Hijack:1,November,Wednesday,19,2851278.18,219329.09,0,0.0761904761904762,0.2706315404141091,0.1734,False,,,,,,,,,,,
WENDYWOOD,22,Theft,17,Theft:17; Hijack:3; Armed Robbery:1; Stolen and recovered:1,April,Thursday,0,1953107.03,88777.59,0,0.1619047619047619,0.184266524737586,0.1731,False,,,,,,,,,,,
GLENMARAIS,19,Theft,16,Theft:16; Hijack:1; Armed Robbery:1; Burglary:1,August,Tuesday,6,2233005.76,117526.62,0,0.1333333333333333,0.2111806136662816,0.1723,False,,,,,,,,,,,
GLENVISTA,27,Theft,25,Theft:25; Armed Robbery:1; Burglary:1,February,Wednesday,10,1426417.89,52830.29,0,0.2095238095238095,0.1336219278444944,0.1716,False,,,,,,,,,,,
VREDEHOEK,34,Theft,32,Theft:32; Burglary:1; Malicious Damage:1,September,Tuesday,0,724486.18,21308.42,0,0.2761904761904762,0.0661266145759724,0.1712,False,,,,,,,,,,,
PLUMSTEAD,31,Theft,31,Theft:31,December,Sunday,14,1019972.45,32902.34,0,0.2476190476190476,0.0945395471676587,0.1711,False,,,,,,,,,,,
DIE WILGERS,23,Theft,22,Theft:22; Hijack:1,December,Friday,0,1798181.91,78181.82,0,0.1714285714285714,0.1693694637292389,0.1704,False,,,,,,,,,,,
UMKOMAAS,13,Theft,12,Theft:12; Burglary:1,February,Saturday,11,2764658.02,212666.0,0,0.0761904761904762,0.2623024469264114,0.1692,False,,,,,,,,,,,
